SUBNO,SEX,AGEGRP,RACEGRP,WEIGHTKG,STATURE,HEADCIRC,BITCOR,BITFRONT,BITSUBN,BITCHIN,NECKCIRC,HEADBR,HEADLTH,MINFRBR,MAXFRBR,BIZYGOBR,BIGONLBR,NROOTBR,NOSEBR,LIPLTH,SUBNASAL,MENSELL,NOSEPRO,INTPUPBR,
282,1,2,1,99.8,"1,829",601,355,317,309,355,"-9,999",158,207,108,116,150,130,16,33,53,52,130,24,64.5,
283,1,3,1,84.8,"1,790",573,340,310,295,330,"-9,999",151,198,106,110,138,112,15,36,52,52,120,21,61.5,
284,1,2,1,69.8,"1,740",575,360,313,296,330,"-9,999",152,200,103,110,142,105,19,35,50,56,135,24,67.0,
285,1,1,1,106.1,"1,780",608,375,335,334,370,"-9,999",157,208,120,124,156,136,20,37,51,51,128,18,67.5,
286,1,3,1,106.3,"1,764",589,352,321,315,355,"-9,999",150,208,107,112,136,128,18,35,51,54,133,22,61.5,
287,1,2,1,81.8,"1,684",565,350,310,303,333,"-9,999",161,186,115,118,150,116,19,37,49,51,118,20,68.0,
288,1,3,1,118.4,"1,761",596,362,323,315,360,"-9,999",160,202,111,116,149,141,18,40,60,51,126,20,66.0,
289,1,3,1,87.8,"1,679",595,363,311,300,336,"-9,999",156,202,115,120,152,132,17,41,54,46,119,21,71.5,
290,1,3,1,105.5,"1,761",599,350,333,330,365,"-9,999",154,205,115,122,155,133,17,39,50,60,139,20,64.5,
291,1,1,1,86.1,"1,780",580,360,312,295,343,"-9,999",152,206,108,115,133,115,17,35,46,52,126,21,63.0,
292,1,3,1,81.5,"1,704",555,335,291,285,313,"-9,999",143,201,103,108,133,115,18,37,46,50,121,24,61.5,
293,1,3,4,89.2,"1,674",570,365,312,295,343,"-9,999",160,191,111,116,156,133,16,36,52,54,121,24,64.5,
294,1,3,4,88.3,"1,774",590,356,320,308,357,"-9,999",146,208,109,114,142,113,20,36,55,49,119,19,66.5,
295,1,2,1,102.2,"1,876",577,362,311,302,340,"-9,999",151,200,115,120,146,120,18,36,49,54,127,19,70.0,
296,1,3,1,134.6,"1,783",598,394,345,333,372,"-9,999",172,199,120,125,164,136,21,45,65,52,123,23,66.0,
297,1,3,1,129.7,"1,696",603,375,325,315,350,"-9,999",160,203,116,121,157,140,17,43,51,49,121,24,70.0,
298,1,3,1,86.0,"1,710",583,365,323,311,349,"-9,999",153,205,108,113,146,117,20,38,50,52,133,18,67.0,
299,1,2,1,88.4,"1,766",583,353,315,305,338,"-9,999",147,201,111,117,144,133,16,38,49,56,124,20,64.5,
300,1,1,1,87.1,"1,755",583,349,310,298,330,"-9,999",158,205,105,110,150,135,17,36,54,46,111,20,65.0,
301,1,2,1,102.6,"1,766",557,367,306,306,340,"-9,999",155,189,105,110,149,124,17,39,57,49,125,24,64.5,
302,1,3,1,83.9,"1,635",560,355,312,300,332,"-9,999",157,192,106,113,152,125,18,35,49,50,120,19,62.5,
303,1,2,1,97.8,"1,792",565,352,310,301,340,"-9,999",150,195,114,117,151,130,19,34,50,55,130,23,66.0,
304,1,3,1,82.1,"1,684",572,328,298,285,330,"-9,999",146,200,108,112,135,120,16,35,50,51,127,21,62.0,
305,1,3,1,110.7,"1,715",585,355,320,312,343,"-9,999",156,200,113,116,153,130,19,38,57,59,128,18,68.0,
306,1,2,1,105.2,"1,770",576,345,300,280,312,"-9,999",157,201,114,110,152,133,16,36,46,54,126,20,63.0,
307,1,2,1,91.2,"1,767",577,360,313,298,340,"-9,999",155,199,115,119,143,122,18,36,54,51,118,19,62.0,
308,1,3,1,110.9,"1,673",547,350,302,305,340,"-9,999",153,183,107,110,149,136,17,38,50,52,115,22,62.0,
309,1,3,1,94.8,"1,696",592,360,330,320,348,"-9,999",153,208,121,125,153,138,19,43,53,57,126,21,67.5,
310,1,3,1,90.0,"1,708",585,355,300,300,335,"-9,999",160,198,114,118,151,129,17,34,51,54,119,21,66.5,
311,1,3,1,72.3,"1,694",578,343,305,290,315,"-9,999",147,205,107,114,141,120,15,40,46,57,125,25,65.0,
312,1,3,1,69.9,"1,756",555,345,310,300,325,"-9,999",154,190,103,110,140,117,17,38,51,50,119,18,61.5,
313,1,3,1,105.2,"1,829",585,365,320,320,362,"-9,999",152,210,110,119,151,125,16,39,56,55,130,21,64.5,
